% LogFile created by the 'GetSensorData' App for Android.
% Date of creation: Sun Dec 10 13:26:36 GMT+01:00 2023
% Developed by LOPSI research group at CAR-CSIC, Spain (http://www.car.upm-csic.es/lopsi)
% Version 2.0 November 2016
% The 'GetSensorData' program stores information from Smartphone/Tablet internal sensors (Accelerometers, Gyroscopes, Magnetometers, Pressure, Ambient Light, Orientation, Sound level, GPS/GNSS positio, WiFi RSS, Cellular/GSM/3G signal strength,...) and also from external devices (e.g. RFCode RFID reader, XSens IMU or LPMS-B IMU)
%
% Phone used for this logfile:
% Manufacturer:            	samsung
% Model:                   	SM-P610
% API Android version:     	30
% Android version Release: 	11
%
% LogFile Data format:
% Accelerometer data: 	'ACCE;AppTimestamp(s);SensorTimestamp(s);Acc_X(m/s^2);Acc_Y(m/s^2);Acc_Z(m/s^2);Accuracy(integer)'
% Gyroscope data:     	'GYRO;AppTimestamp(s);SensorTimestamp(s);Gyr_X(rad/s);Gyr_Y(rad/s);Gyr_Z(rad/s);Accuracy(integer)'
% Magnetometer data:  	'MAGN;AppTimestamp(s);SensorTimestamp(s);Mag_X(uT);;Mag_Y(uT);Mag_Z(uT);Accuracy(integer)'
% Pressure data:      	'PRES;AppTimestamp(s);SensorTimestamp(s);Pres(mbar);Accuracy(integer)'
% Light data:         	'LIGH;AppTimestamp(s);SensorTimestamp(s);Light(lux);Accuracy(integer)'
% Proximity data:     	'PROX;AppTimestamp(s);SensorTimestamp(s);prox(?);Accuracy(integer)'
% Humidity data:      	'HUMI;AppTimestamp(s);SensorTimestamp(s);humi(Percentage);Accuracy(integer)'
% Temperature data:   	'TEMP;AppTimestamp(s);SensorTimestamp(s);temp(Celsius);Accuracy(integer)'
% Orientation data:   	'AHRS;AppTimestamp(s);SensorTimestamp(s);PitchX(deg);RollY(deg);YawZ(deg);RotVecX();RotVecY();RotVecZ();Accuracy(int)'
% GNSS/GPS data:      	'GNSS;AppTimestamp(s);SensorTimeStamp(s);Latit(deg);Long(deg);Altitude(m);Bearing(deg);Accuracy(m);Speed(m/s);SatInView;SatInUse'
% WIFI data:          	'WIFI;AppTimestamp(s);SensorTimeStamp(s);Name_SSID;MAC_BSSID;RSS(dBm);'
% Bluetooth data:     	'BLUE;AppTimestamp(s);Name;MAC_Address;RSS(dBm);'
% BLE 4.0 data:       	'BLE4;AppTimestamp(s);MajorID;MinorID;RSS(dBm);'
% Sound data:         	'SOUN;AppTimestamp(s);RMS;Pressure(Pa);SPL(dB);'
% RFID Reader data:   	'RFID;AppTimestamp(s);ReaderNumber(int);TagID(int);RSS_A(dBm);RSS_B(dBm);'
% IMU XSens data:     	'IMUX;AppTimestamp(s);SensorTimestamp(s);Counter;Acc_X(m/s^2);Acc_Y(m/s^2);Acc_Z(m/s^2);Gyr_X(rad/s);Gyr_Y(rad/s);Gyr_Z(rad/s);Mag_X(uT);;Mag_Y(uT);Mag_Z(uT);Roll(deg);Pitch(deg);Yaw(deg);Quat(1);Quat(2);Quat(3);Quat(4);Pressure(mbar);Temp(Celsius)'
% IMU LPMS-B data:    	'IMUL;AppTimestamp(s);SensorTimestamp(s);Counter;Acc_X(m/s^2);Acc_Y(m/s^2);Acc_Z(m/s^2);Gyr_X(rad/s);Gyr_Y(rad/s);Gyr_Z(rad/s);Mag_X(uT);;Mag_Y(uT);Mag_Z(uT);Roll(deg);Pitch(deg);Yaw(deg);Quat(1);Quat(2);Quat(3);Quat(4);Pressure(mbar);Temp(Celsius)'
% POSI Reference:    		'POSI;Timestamp(s);Counter;Latitude(degrees); Longitude(degrees);floor ID(0,1,2..4);Building ID(0,1,2..3);'
% 
% Note that there are two timestamps: 
%  -'AppTimestamp' is set by the Android App as data is read. It is not representative of when data is actually captured by the sensor (but has a common time reference for all sensors)
%  -'SensorTimestamp' is set by the sensor itself (the delta_time=SensorTimestamp(k)-SensorTimestamp(k-1) between two consecutive samples is an accurate estimate of the sampling interval). This timestamp is better for integrating inertial data. 

ACCE;0.034;957277.731;-0.10534;7.16585;6.92882;3
GYRO;0.034;957277.731;0.06392;0.00852;0.04794;3
ACCE;0.035;957277.751;0.02155;7.22810;6.82587;3
GYRO;0.035;957277.751;0.08682;0.02077;0.05965;3
ACCE;0.053;957277.771;0.12689;7.29753;6.79714;3
GYRO;0.054;957277.771;0.11132;0.01545;0.08469;3
ACCE;0.072;957277.791;0.15562;7.16585;6.86418;3
GYRO;0.073;957277.791;0.11025;0.00320;0.10173;3
LIGH;0.073;957277.791;18.0;3
ACCE;0.092;957277.811;0.11013;7.01741;6.87854;3
GYRO;0.092;957277.811;0.10653;-0.01278;0.09374;3
ACCE;0.112;957277.831;0.10534;6.98389;6.80911;3
GYRO;0.112;957277.831;0.09694;-0.02716;0.06658;3
ACCE;0.132;957277.851;0.12689;7.03656;6.81629;3
GYRO;0.133;957277.851;0.08629;-0.03728;0.04794;3
ACCE;0.155;957277.871;0.10534;7.03416;6.77080;3
GYRO;0.156;957277.871;0.06924;-0.05859;0.03569;3
ACCE;0.175;957277.891;0.10056;7.09163;6.66546;3
GYRO;0.175;957277.891;0.03675;-0.07670;0.02131;3
ACCE;0.192;957277.911;0.12929;7.15387;6.59363;3
GYRO;0.193;957277.911;0.01278;-0.07031;0.00905;3
ACCE;0.213;957277.931;0.16999;7.21852;6.54335;3
GYRO;0.214;957277.931;-0.02290;-0.03675;0.00160;3
ACCE;0.233;957277.951;0.15562;7.24485;6.60321;3
GYRO;0.233;957277.951;-0.05007;-0.00746;0.00426;3
LIGH;0.233;957277.951;71.0;3
ACCE;0.252;957277.971;0.14126;7.25683;6.65349;3
GYRO;0.253;957277.971;-0.06232;0.00266;0.01065;3
ACCE;0.272;957277.991;0.10056;7.26401;6.71813;3
GYRO;0.273;957277.991;-0.06764;0.01119;0.01332;3
SOUN;0.278;749.58;0.02288;61.17
ACCE;0.292;957278.011;0.15083;7.31907;6.70376;3
GYRO;0.293;957278.011;-0.05859;0.01491;0.02503;3
ACCE;0.312;957278.031;0.20830;7.40527;6.78517;3
GYRO;0.313;957278.031;-0.04261;0.00905;0.05167;3
ACCE;0.332;957278.051;0.28012;7.38372;6.84263;3
GYRO;0.333;957278.051;-0.03143;-0.01651;0.09108;3
ACCE;0.355;957278.071;0.34477;7.34062;6.83784;3
GYRO;0.356;957278.071;-0.01491;-0.04900;0.11824;3
ACCE;0.372;957278.091;0.38786;7.19697;6.75404;3
GYRO;0.373;957278.091;-0.02077;-0.05486;0.11931;3
ACCE;0.393;957278.111;0.40462;7.04853;6.70855;3
GYRO;0.393;957278.111;-0.02024;-0.03995;0.09268;3
LIGH;0.393;957278.111;83.0;3
ACCE;0.412;957278.131;0.40941;6.96952;6.67264;3
GYRO;0.412;957278.131;-0.01811;-0.01225;0.05273;3
ACCE;0.432;957278.151;0.39025;6.93600;6.70855;3
GYRO;0.432;957278.151;-0.00426;0.01438;0.02397;3
ACCE;0.456;957278.171;0.35434;6.98389;6.74925;3
GYRO;0.456;957278.171;0.02397;0.02184;0.00320;3
ACCE;0.472;957278.191;0.34237;7.01980;6.82347;3
GYRO;0.473;957278.191;0.02876;0.01917;-0.01598;3
ACCE;0.494;957278.211;0.33998;7.04135;6.82826;3
GYRO;0.494;957278.211;0.03302;0.00213;-0.03036;3
ACCE;0.514;957278.231;0.33998;7.06050;6.70855;3
GYRO;0.515;957278.231;0.01864;0.00692;-0.04794;3
ACCE;0.533;957278.251;0.29928;7.09881;6.63433;3
GYRO;0.534;957278.251;0.00959;0.03728;-0.05646;3
ACCE;0.553;957278.271;0.27773;7.16585;6.64870;3
GYRO;0.554;957278.271;0.00746;0.05167;-0.05806;3
LIGH;0.554;957278.271;104.0;3
ACCE;0.573;957278.291;0.28730;7.24725;6.68461;3
GYRO;0.574;957278.291;-0.00959;0.05752;-0.06179;3
ACCE;0.594;957278.311;0.24181;7.26401;6.76362;3
